Text1,Text2,similarity
"""14.pdf""","""d6:Central_Schema_Attributes.txt""",1.0
"""2.pdf""","""d3:Societal_Attributes.txt""",1.0
"""2.pdf""","""d4:Physical_co-morbidities.txt""",1.0
"""21.pdf""","""d6:Central_Schema_Attributes.txt""",1.0
"""21.pdf""","""d6:Peripheral_Stimulus.txt""",1.0
"""37.pdf""","""58.pdf""",1.0
"""40.pdf""","""d3:Societal_Attributes.txt""",1.0
"""41.pdf""","""d1:Psychological_Attributes.txt""",1.0
"""41.pdf""","""d3:Societal_Attributes.txt""",1.0
"""46.pdf""","""58.pdf""",1.0
"""46.pdf""","""d3:Societal_Attributes.txt""",1.0
"""53.pdf""","""58.pdf""",1.0
"""58.pdf""","""37.pdf""",1.0
"""58.pdf""","""46.pdf""",1.0
"""58.pdf""","""53.pdf""",1.0
"""d1:Psychological_Attributes.txt""","""41.pdf""",1.0
"""d2:Tissue_Tolerance.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d3:Societal_Attributes.txt""","""2.pdf""",1.0
"""d3:Societal_Attributes.txt""","""40.pdf""",1.0
"""d3:Societal_Attributes.txt""","""41.pdf""",1.0
"""d3:Societal_Attributes.txt""","""46.pdf""",1.0
"""d4:Inflammation.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d4:Physical_co-morbidities.txt""","""2.pdf""",1.0
"""d5:Familial_Attributes.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""14.pdf""",1.0
"""d6:Central_Schema_Attributes.txt""","""21.pdf""",1.0
"""d6:Central_Schema_Attributes.txt""","""d2:Tissue_Tolerance.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d4:Inflammation.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d5:Familial_Attributes.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d6:Nociception_and_Neuropathic_Pain.txt""",1.0
"""d6:Central_Schema_Attributes.txt""","""d6:Peripheral_Stimulus.txt""",1.0
"""d6:Nociception_and_Neuropathic_Pain.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""d6:Peripheral_Stimulus.txt""","""21.pdf""",1.0
"""d6:Peripheral_Stimulus.txt""","""d6:Central_Schema_Attributes.txt""",1.0
"""21.pdf""","""d2:Sensorimotor_Control.txt""",0.9523809523809523
"""d2:Sensorimotor_Control.txt""","""21.pdf""",0.9523809523809523
"""17.pdf""","""d6:Central_Pain_Processing.txt""",0.9285714285714286
"""d6:Central_Pain_Processing.txt""","""17.pdf""",0.9285714285714286
"""41.pdf""","""d1:Pain_Beliefs.txt""",0.9230769230769231
"""49.pdf""","""d1:Pain_Beliefs.txt""",0.9230769230769231
"""d1:Pain_Beliefs.txt""","""41.pdf""",0.9230769230769231
"""d1:Pain_Beliefs.txt""","""49.pdf""",0.9230769230769231
"""15.pdf""","""d2:Biomechanical_Attributes.txt""",0.9
"""17.pdf""","""d6:Functional_Consequence.txt""",0.9
"""d2:Biomechanical_Attributes.txt""","""15.pdf""",0.9
"""d6:Functional_Consequence.txt""","""17.pdf""",0.9
"""12.pdf""","""d2:Physical_Activity.txt""",0.8461538461538461
"""14.pdf""","""d6:Peripheral_Stimulus.txt""",0.8461538461538461
"""15.pdf""","""d2:Physical_Activity.txt""",0.8461538461538461
"""17.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""40.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""48.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""55.pdf""","""d1:Pain_Beliefs.txt""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""17.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""40.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""48.pdf""",0.8461538461538461
"""d1:Pain_Beliefs.txt""","""55.pdf""",0.8461538461538461
"""d2:Physical_Activity.txt""","""12.pdf""",0.8461538461538461
"""d2:Physical_Activity.txt""","""15.pdf""",0.8461538461538461
"""d6:Peripheral_Stimulus.txt""","""14.pdf""",0.8461538461538461
"""41.pdf""","""d6:Pain_Experience.txt""",0.8181818181818182
"""d6:Pain_Experience.txt""","""41.pdf""",0.8181818181818182
"""17.pdf""","""d2:Sensorimotor_Control.txt""",0.8095238095238095
"""d2:Sensorimotor_Control.txt""","""17.pdf""",0.8095238095238095
"""14.pdf""","""d2:Biomechanical_Attributes.txt""",0.8
"""2.pdf""","""d6:Functional_Consequence.txt""",0.8
"""41.pdf""","""d6:Functional_Consequence.txt""",0.8
"""48.pdf""","""d1:Psychological_Resources.txt""",0.8
"""49.pdf""","""d6:Functional_Consequence.txt""",0.8
"""d1:Psychological_Resources.txt""","""48.pdf""",0.8
"""d2:Biomechanical_Attributes.txt""","""14.pdf""",0.8
"""d6:Functional_Consequence.txt""","""2.pdf""",0.8
"""d6:Functional_Consequence.txt""","""41.pdf""",0.8
"""d6:Functional_Consequence.txt""","""49.pdf""",0.8
"""10.pdf""","""d2:Physical_Activity.txt""",0.7692307692307693
"""12.pdf""","""d6:Peripheral_Stimulus.txt""",0.7692307692307693
"""14.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""15.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""16.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""17.pdf""","""d6:Peripheral_Stimulus.txt""",0.7692307692307693
"""2.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""41.pdf""","""d2:Physical_Activity.txt""",0.7692307692307693
"""43.pdf""","""d1:Pain_Beliefs.txt""",0.7692307692307693
"""55.pdf""","""d1:Coping_Skills.txt""",0.7692307692307693
"""d1:Coping_Skills.txt""","""55.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""15.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""16.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""2.pdf""",0.7692307692307693
"""d1:Pain_Beliefs.txt""","""43.pdf""",0.7692307692307693
"""d2:Physical_Activity.txt""","""10.pdf""",0.7692307692307693
"""d2:Physical_Activity.txt""","""41.pdf""",0.7692307692307693
"""d6:Peripheral_Stimulus.txt""","""12.pdf""",0.7692307692307693
"""d6:Peripheral_Stimulus.txt""","""17.pdf""",0.7692307692307693
"""12.pdf""","""d2:Sensorimotor_Control.txt""",0.7619047619047619
"""14.pdf""","""d2:Sensorimotor_Control.txt""",0.7619047619047619
"""15.pdf""","""d2:Sensorimotor_Control.txt""",0.7619047619047619
"""d2:Sensorimotor_Control.txt""","""12.pdf""",0.7619047619047619
"""d2:Sensorimotor_Control.txt""","""14.pdf""",0.7619047619047619
"""d2:Sensorimotor_Control.txt""","""15.pdf""",0.7619047619047619
"""1.pdf""","""58.pdf""",0.75
"""10.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""12.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""15.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""16.pdf""","""58.pdf""",0.75
"""17.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""20.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""25.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""30.pdf""","""58.pdf""",0.75
"""40.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""41.pdf""","""58.pdf""",0.75
"""41.pdf""","""d1:Personality_Traits.txt""",0.75
"""42.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""43.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""47.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""49.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""55.pdf""","""58.pdf""",0.75
"""58.pdf""","""1.pdf""",0.75
"""58.pdf""","""16.pdf""",0.75
"""58.pdf""","""30.pdf""",0.75
"""58.pdf""","""41.pdf""",0.75
"""58.pdf""","""55.pdf""",0.75
"""58.pdf""","""61.pdf""",0.75
"""61.pdf""","""58.pdf""",0.75
"""7.pdf""","""d1:Psychological_Attributes.txt""",0.75
"""d1:Affective_State.txt""","""d1:Psychological_Attributes.txt""",0.75
"""d1:Personality_Traits.txt""","""41.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""10.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""12.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""15.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""17.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""25.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""40.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""42.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""43.pdf""",0.75
"""d1:Psychological_Attributes.txt""","""47.pdf""",0.75
"""41.pdf""","""d5:Genetics.txt""",0.7272727272727273
"""d5:Genetics.txt""","""41.pdf""",0.7272727272727273
"""14.pdf""","""d4:Physical_co-morbidities.txt""",0.7142857142857143
"""17.pdf""","""d4:Physical_co-morbidities.txt""",0.7142857142857143
"""32.pdf""","""d6:Central_Pain_Processing.txt""",0.7142857142857143
"""43.pdf""","""d4:Physical_co-morbidities.txt""",0.7142857142857143
"""49.pdf""","""d4:Physical_co-morbidities.txt""",0.7142857142857143
"""d4:Physical_co-morbidities.txt""","""14.pdf""",0.7142857142857143
"""d4:Physical_co-morbidities.txt""","""17.pdf""",0.7142857142857143
"""d4:Physical_co-morbidities.txt""","""43.pdf""",0.7142857142857143
"""d4:Physical_co-morbidities.txt""","""49.pdf""",0.7142857142857143
"""d6:Central_Pain_Processing.txt""","""32.pdf""",0.7142857142857143
"""42.pdf""","""d6:Functional_Consequence.txt""",0.7
"""55.pdf""","""d6:Functional_Consequence.txt""",0.7
"""7.pdf""","""d2:Biomechanical_Attributes.txt""",0.7
"""d2:Biomechanical_Attributes.txt""","""7.pdf""",0.7
"""d6:Functional_Consequence.txt""","""42.pdf""",0.7
"""d6:Functional_Consequence.txt""","""55.pdf""",0.7
"""14.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""17.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""21.pdf""","""d1:Coping_Skills.txt""",0.6923076923076923
"""21.pdf""","""d1:Pain_Beliefs.txt""",0.6923076923076923
"""21.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""29.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""34.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""41.pdf""","""d1:Coping_Skills.txt""",0.6923076923076923
"""42.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""43.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""46.pdf""","""d1:Pain_Beliefs.txt""",0.6923076923076923
"""47.pdf""","""d1:Pain_Beliefs.txt""",0.6923076923076923
"""48.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""49.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""51.pdf""","""d1:Pain_Beliefs.txt""",0.6923076923076923
"""52.pdf""","""d1:Pain_Beliefs.txt""",0.6923076923076923
"""55.pdf""","""d2:Physical_Activity.txt""",0.6923076923076923
"""9.pdf""","""d6:Peripheral_Stimulus.txt""",0.6923076923076923
"""d1:Coping_Skills.txt""","""21.pdf""",0.6923076923076923
"""d1:Coping_Skills.txt""","""41.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""14.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""17.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""42.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""43.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""48.pdf""",0.6923076923076923
"""d2:Physical_Activity.txt""","""55.pdf""",0.6923076923076923
"""d2:Sensorimotor_Control.txt""","""d6:Peripheral_Stimulus.txt""",0.6923076923076923
"""d6:Pain_Perception.txt""","""41.pdf""",0.6923076923076923
"""d6:Peripheral_Stimulus.txt""","""9.pdf""",0.6923076923076923
"""d6:Peripheral_Stimulus.txt""","""d2:Sensorimotor_Control.txt""",0.6923076923076923
"""14.pdf""","""d6:Anatomy.txt""",0.6875
"""d6:Anatomy.txt""","""14.pdf""",0.6875
"""22.pdf""","""23.pdf""",0.6723716381418093
"""23.pdf""","""22.pdf""",0.6723716381418093
"""12.pdf""","""16.pdf""",0.6674418604651163
"""16.pdf""","""12.pdf""",0.6674418604651163
"""10.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""14.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""15.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""16.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""17.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""18.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""25.pdf""","""d2:Sensorimotor_Control.txt""",0.6666666666666666
"""28.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""31.pdf""","""d2:Tissue_Tolerance.txt""",0.6666666666666666
"""32.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""33.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""34.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""42.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""43.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""47.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""48.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""49.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""5.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""51.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""51.pdf""","""d5:Familial_Attributes.txt""",0.6666666666666666
"""52.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""53.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""53.pdf""","""d5:Familial_Attributes.txt""",0.6666666666666666
"""55.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""65.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""7.pdf""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""d1:Personality_Traits.txt""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""d2:Sensorimotor_Control.txt""","""25.pdf""",0.6666666666666666
"""d2:Tissue_Tolerance.txt""","""31.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""14.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""16.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""28.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""42.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""51.pdf""",0.6666666666666666
"""d3:Societal_Attributes.txt""","""52.pdf""",0.6666666666666666
"""d5:Familial_Attributes.txt""","""41.pdf""",0.6666666666666666
"""d5:Familial_Attributes.txt""","""51.pdf""",0.6666666666666666
"""d5:Familial_Attributes.txt""","""53.pdf""",0.6666666666666666
"""d5:Familial_Attributes.txt""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""d6:Central_Pain_Processing.txt""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""d6:Functional_Consequence.txt""","""d3:Societal_Attributes.txt""",0.6666666666666666
"""16.pdf""","""17.pdf""",0.6534883720930232
"""17.pdf""","""16.pdf""",0.6534883720930232
"""14.pdf""","""d6:Central_Pain_Processing.txt""",0.6428571428571429
"""21.pdf""","""d6:Central_Pain_Processing.txt""",0.6428571428571429
"""33.pdf""","""d6:Central_Pain_Processing.txt""",0.6428571428571429
"""46.pdf""","""d6:Central_Pain_Processing.txt""",0.6428571428571429
"""d6:Central_Pain_Processing.txt""","""14.pdf""",0.6428571428571429
"""d6:Central_Pain_Processing.txt""","""21.pdf""",0.6428571428571429
"""d6:Central_Pain_Processing.txt""","""33.pdf""",0.6428571428571429
"""d6:Central_Pain_Processing.txt""","""46.pdf""",0.6428571428571429
"""d6:Nociception_and_Neuropathic_Pain.txt""","""17.pdf""",0.6428571428571429
"""10.pdf""","""17.pdf""",0.6405622489959839
"""53.pdf""","""41.pdf""",0.6366559485530546
"""15.pdf""","""d6:Pain_Experience.txt""",0.6363636363636364
"""21.pdf""","""d6:Pain_Experience.txt""",0.6363636363636364
"""5.pdf""","""d6:Pain_Experience.txt""",0.6363636363636364
"""52.pdf""","""d5:Genetics.txt""",0.6363636363636364
"""55.pdf""","""d5:Genetics.txt""",0.6363636363636364
"""55.pdf""","""d6:Pain_Experience.txt""",0.6363636363636364
"""9.pdf""","""d5:Genetics.txt""",0.6363636363636364
"""d5:Genetics.txt""","""17.pdf""",0.6363636363636364
"""d5:Genetics.txt""","""52.pdf""",0.6363636363636364
"""d5:Genetics.txt""","""55.pdf""",0.6363636363636364
"""d5:Genetics.txt""","""9.pdf""",0.6363636363636364
"""d6:Pain_Experience.txt""","""15.pdf""",0.6363636363636364
"""d6:Pain_Experience.txt""","""21.pdf""",0.6363636363636364
"""d6:Pain_Experience.txt""","""5.pdf""",0.6363636363636364
"""d6:Pain_Experience.txt""","""55.pdf""",0.6363636363636364
"""21.pdf""","""d6:Anatomy.txt""",0.625
"""d6:Anatomy.txt""","""21.pdf""",0.625
"""18.pdf""","""49.pdf""",0.6239782016348774
"""49.pdf""","""18.pdf""",0.6239782016348774
"""12.pdf""","""29.pdf""",0.6217616580310881
"""29.pdf""","""12.pdf""",0.6217616580310881
"""10.pdf""","""d2:Sensorimotor_Control.txt""",0.6190476190476191
"""d2:Sensorimotor_Control.txt""","""10.pdf""",0.6190476190476191
"""24.pdf""","""17.pdf""",0.6174334140435835
"""10.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""12.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""15.pdf""","""d6:Peripheral_Stimulus.txt""",0.6153846153846154
"""16.pdf""","""d1:Coping_Skills.txt""",0.6153846153846154
"""16.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""18.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""18.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""19.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""2.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""20.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""20.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""22.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""23.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""24.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""25.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""25.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""26.pdf""","""d6:Peripheral_Stimulus.txt""",0.6153846153846154
"""33.pdf""","""d6:Pain_Perception.txt""",0.6153846153846154
"""40.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""42.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""49.pdf""","""d1:Coping_Skills.txt""",0.6153846153846154
"""50.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""51.pdf""","""d2:Physical_Activity.txt""",0.6153846153846154
"""51.pdf""","""d6:Pain_Perception.txt""",0.6153846153846154
"""52.pdf""","""d1:Coping_Skills.txt""",0.6153846153846154
"""65.pdf""","""d1:Pain_Beliefs.txt""",0.6153846153846154
"""d1:Coping_Skills.txt""","""16.pdf""",0.6153846153846154
"""d1:Coping_Skills.txt""","""17.pdf""",0.6153846153846154
"""d1:Coping_Skills.txt""","""49.pdf""",0.6153846153846154
"""d1:Coping_Skills.txt""","""52.pdf""",0.6153846153846154
"""d6:Pain_Perception.txt""","""33.pdf""",0.6153846153846154
"""d6:Pain_Perception.txt""","""51.pdf""",0.6153846153846154
"""d6:Peripheral_Stimulus.txt""","""15.pdf""",0.6153846153846154
"""d6:Peripheral_Stimulus.txt""","""26.pdf""",0.6153846153846154
"""29.pdf""","""34.pdf""",0.6139896373056994
"""34.pdf""","""29.pdf""",0.6139896373056994
"""16.pdf""","""21.pdf""",0.6116279069767442
"""21.pdf""","""16.pdf""",0.6116279069767442
"""12.pdf""","""17.pdf""",0.6103896103896104
"""25.pdf""","""21.pdf""",0.6101321585903083
"""15.pdf""","""16.pdf""",0.6023255813953489
"""16.pdf""","""15.pdf""",0.6023255813953489
"""22.pdf""","""21.pdf""",0.6014669926650367
"""12.pdf""","""24.pdf""",0.6004842615012107
"""24.pdf""","""12.pdf""",0.6004842615012107
"""12.pdf""","""d6:Functional_Consequence.txt""",0.6
"""15.pdf""","""d2:Load.txt""",0.6
"""2.pdf""","""d1:Psychological_Resources.txt""",0.6
"""2.pdf""","""d2:Load.txt""",0.6
"""30.pdf""","""d2:Biomechanical_Attributes.txt""",0.6
"""40.pdf""","""d6:Functional_Consequence.txt""",0.6
"""42.pdf""","""d1:Psychological_Resources.txt""",0.6
"""43.pdf""","""d3:Socio-demographics.txt""",0.6
"""43.pdf""","""d6:Functional_Consequence.txt""",0.6
"""46.pdf""","""d6:Functional_Consequence.txt""",0.6
"""47.pdf""","""d2:Load.txt""",0.6
"""48.pdf""","""d6:Functional_Consequence.txt""",0.6
"""5.pdf""","""d6:Functional_Consequence.txt""",0.6
"""52.pdf""","""d6:Functional_Consequence.txt""",0.6
"""d1:Affective_State.txt""","""d1:Psychological_Resources.txt""",0.6
"""d1:Psychological_Resources.txt""","""14.pdf""",0.6
"""d1:Psychological_Resources.txt""","""2.pdf""",0.6
"""d1:Psychological_Resources.txt""","""41.pdf""",0.6
"""d1:Psychological_Resources.txt""","""42.pdf""",0.6
"""d1:Psychological_Resources.txt""","""d1:Affective_State.txt""",0.6
"""d1:Psychological_Resources.txt""","""d6:Pain_Perception.txt""",0.6
"""d2:Biomechanical_Attributes.txt""","""12.pdf""",0.6
"""d2:Biomechanical_Attributes.txt""","""17.pdf""",0.6
"""d2:Biomechanical_Attributes.txt""","""21.pdf""",0.6
"""d2:Biomechanical_Attributes.txt""","""30.pdf""",0.6
"""d2:Biomechanical_Attributes.txt""","""41.pdf""",0.6
"""d2:Load.txt""","""14.pdf""",0.6
"""d2:Load.txt""","""15.pdf""",0.6
"""d2:Load.txt""","""2.pdf""",0.6
"""d2:Load.txt""","""21.pdf""",0.6
"""d2:Load.txt""","""47.pdf""",0.6
"""d2:Load.txt""","""d6:Peripheral_Stimulus.txt""",0.6
"""d3:Socio-demographics.txt""","""43.pdf""",0.6
"""d4:Systemic_Attributes.txt""","""14.pdf""",0.6
"""d4:Systemic_Attributes.txt""","""21.pdf""",0.6
"""d6:Functional_Consequence.txt""","""40.pdf""",0.6
"""d6:Functional_Consequence.txt""","""46.pdf""",0.6
"""d6:Functional_Consequence.txt""","""52.pdf""",0.6
"""d6:Pain_Perception.txt""","""d1:Psychological_Resources.txt""",0.6
"""d6:Peripheral_Stimulus.txt""","""d2:Load.txt""",0.6
"""42.pdf""","""49.pdf""",0.5931818181818181
"""49.pdf""","""42.pdf""",0.5931818181818181
"""2.pdf""","""40.pdf""",0.5906862745098039
"""40.pdf""","""2.pdf""",0.5906862745098039
"""24.pdf""","""21.pdf""",0.5883777239709443
"""10.pdf""","""21.pdf""",0.5863453815261044
"""1.pdf""","""d5:Demographics.txt""",0.5833333333333334
"""51.pdf""","""41.pdf""",0.5833333333333334
"""d5:Demographics.txt""","""1.pdf""",0.5833333333333334
"""53.pdf""","""55.pdf""",0.5819935691318328
"""55.pdf""","""53.pdf""",0.5819935691318328
"""20.pdf""","""49.pdf""",0.5797101449275363
"""49.pdf""","""20.pdf""",0.5797101449275363
"""29.pdf""","""15.pdf""",0.5777202072538861
"""20.pdf""","""17.pdf""",0.5768115942028985
"""19.pdf""","""49.pdf""",0.576
"""29.pdf""","""17.pdf""",0.5751295336787565
"""42.pdf""","""41.pdf""",0.575
"""26.pdf""","""17.pdf""",0.5748031496062992
"""1.pdf""","""d4:Physical_co-morbidities.txt""",0.5714285714285714
"""16.pdf""","""d2:Sensorimotor_Control.txt""",0.5714285714285714
"""18.pdf""","""d6:Central_Pain_Processing.txt""",0.5714285714285714
"""22.pdf""","""d2:Sensorimotor_Control.txt""",0.5714285714285714
"""22.pdf""","""d3:Occupation.txt""",0.5714285714285714
"""24.pdf""","""d2:Sensorimotor_Control.txt""",0.5714285714285714
"""31.pdf""","""d6:Central_Pain_Processing.txt""",0.5714285714285714
"""34.pdf""","""d2:Sensorimotor_Control.txt""",0.5714285714285714
"""42.pdf""","""d3:Occupation.txt""",0.5714285714285714
